deviceId,time_bucket_s,transfers,total_mb,avg_bw_mbps
1,507,3,2108.365824,7860.115612357286
1,508,4,2811.154432,7962.737213419229
1,509,3,2108.365824,7870.333853001349
1,510,4,2811.154432,7858.552219867846
1,511,3,2108.365824,7825.04714628097
1,512,3,2108.365824,7876.094579969928
1,513,3,2108.365824,7824.069283057598
1,514,4,2811.154432,7985.441729994462
1,515,3,2108.365824,7814.749005053692
1,516,3,2108.365824,7929.97126480653
1,517,4,2811.154432,8096.67306090471
1,518,3,2108.365824,7849.102414893462
1,519,4,2811.154432,7938.537530445066
1,520,3,2108.365824,7897.4737257080005
1,521,3,2108.365824,7963.934413566115
1,522,4,2811.154432,7858.072513139063
1,523,3,2108.365824,7882.389625185536
1,524,3,2108.365824,7899.735294592915
1,525,4,2811.154432,7875.058259013214
1,526,3,2108.365824,8007.958687217285
1,527,3,2108.365824,7888.79596297105
1,528,4,2811.154432,7828.316749693524
1,529,3,2108.365824,8029.438162956884
1,530,4,2811.154432,7951.473956874503
1,531,3,2108.365824,7867.1280297900375
1,532,3,2108.365824,7881.7925421459695
1,533,4,2811.154432,7892.4383107499525
1,534,3,2108.365824,7893.832066149854
1,535,3,2108.365824,7997.756552447868
1,536,3,2108.365824,7891.06021961636
1,537,4,2811.154432,7846.623795305113
1,538,3,2108.365824,7905.539279406842
1,539,4,2811.154432,7798.493382024439
1,540,3,2108.365824,7863.2786817784
1,541,4,2811.154432,7985.465326439085
1,542,3,2108.365824,7956.568924644114
1,543,3,2108.365824,7893.925600813661
1,544,4,2811.154432,7901.288884201642
1,545,3,2108.365824,7974.877829629594
1,546,4,2811.154432,7911.113715153902
1,547,2,1405.577216,8221.536509102352
1,548,4,2811.154432,8007.271044606198
1,549,3,2108.365824,8004.179438844801
1,550,4,2811.154432,7843.46148591002
1,551,3,2108.365824,7855.771993097361
1,552,4,2811.154432,7916.357270503733
1,553,3,2108.365824,7828.100656485993
1,554,4,2811.154432,7889.582081118468
1,555,3,2108.365824,7971.780431422402
1,556,3,2108.365824,7902.075437183263
1,557,4,2811.154432,7854.189230267348
1,558,3,2108.365824,7936.742351636073
1,559,3,2108.365824,7820.498357143098
1,560,3,2108.365824,7891.894012061223
1,561,3,2108.365824,7952.945932243475
1,562,4,2811.154432,7915.56470297723
1,563,3,2108.365824,7956.318623684982
1,564,4,2811.154432,7967.579990446117
1,565,3,2108.365824,7859.674126504079
1,566,4,2811.154432,7978.835042610816
1,567,3,2108.365824,7933.790399922272
1,568,4,2811.154432,7869.98215830139
1,569,3,2108.365824,7918.332170621608
1,570,3,2108.365824,7979.320813392576
1,571,3,2108.365824,7930.008814361976
1,572,3,2108.365824,7840.826590271849
1,573,4,2811.154432,7891.6875572228255
1,574,3,2108.365824,7868.856268143393
1,575,4,2811.154432,7880.471944914572
1,576,3,2108.365824,7930.608577728846
1,577,4,2811.154432,7804.248795306404
1,578,3,2108.365824,8042.740892889543
1,579,3,2108.365824,7838.950885126845
1,580,4,2811.154432,7838.3434443165015
1,581,3,2108.365824,7901.0264879170745
1,582,3,2108.365824,7831.362287048097
1,583,3,2108.365824,7871.986822361122
1,584,4,2811.154432,7895.018611378553
1,585,3,2108.365824,7820.196924761993
1,586,4,2811.154432,7874.550954472596
1,587,3,2108.365824,7944.77191310775
1,588,4,2811.154432,8012.886426661806
1,589,3,2108.365824,7865.007476604933
1,590,4,2811.154432,8096.978942718467
1,591,3,2108.365824,8041.659924443823
1,592,3,2108.365824,8067.731937779247
1,593,3,2108.365824,7854.509654167347
1,594,3,2108.365824,8126.248532523983
1,595,4,2811.154432,7973.24290401544
1,596,3,2108.365824,7866.410645217132
1,597,4,2811.154432,7930.2839600988755
1,598,3,2108.365824,7876.271312507954
1,599,3,2108.365824,8003.633996574857
