deviceId,time_bucket_s,transfers,total_mb,avg_bw_mbps
2,112,19,1530.92096,11101.650798522362
2,113,23,1551.89248,11288.218245714499
2,114,23,1601.69984,11557.386264811354
2,115,17,1069.54752,11236.924883121064
2,116,11,665.84576,10993.985327521637
2,117,10,613.41696,11066.24171454267
2,118,6,492.83072,11038.45133730239
2,119,7,545.25952,10514.878644763206
2,120,5,529.53088,10475.730411617025
2,121,9,560.98816,10638.948509676527
2,122,5,561.64352,17047.162671818212
2,123,7,634.38848,10580.28613905174
2,124,8,508.55936,10938.97042892231
2,125,6,581.95968,10397.167992088476
2,126,7,456.13056,11155.835313276579
2,127,10,524.288,12014.840084972964
2,128,9,471.8592,12272.081675400234
2,129,6,581.95968,12014.034423745674
2,130,9,687.47264,15748.938523329216
2,131,8,597.68832,12513.174050825897
2,132,10,613.41696,13028.529444645723
2,133,8,597.68832,12599.991682089316
2,134,9,650.11712,12550.86441314817
2,135,10,613.41696,12917.531262622544
2,136,10,613.41696,13012.972646798255
2,137,14,1001.39008,13336.729921521908
2,138,14,1268.77696,12821.843189470515
2,139,6,492.83072,12983.26066730746
2,179,26,1630.53568,10849.3270889934
2,180,36,2243.95264,11304.270714966735
2,181,32,2123.3664,11180.341173523302
2,182,14,1001.39008,11180.514475742908
2,183,7,545.25952,10795.50766145067
2,184,8,508.55936,10727.83060577803
2,185,24,1882.19392,11069.604672830248
2,186,31,2278.03136,11561.579586300535
2,187,35,2191.52384,11171.677891826403
2,188,30,2196.76672,11127.176130648619
2,189,27,2160.72192,12321.558716995582
2,190,32,2301.62432,11182.140463986158
2,191,32,2301.62432,10997.987035942342
2,192,36,2370.43712,11981.478592370098
2,193,33,2532.31104,11477.324844433797
2,194,4,298.84416,12936.281749979924
2,196,3,4469.030912,14575.98509149735
2,199,43,6677.331968,17768.315597767585
2,200,76,15776.874496,16234.637189456558
2,201,70,10804.527104,17718.868896967782
2,202,50,7717.51936,15527.591751478087
2,623,26,1869.74208,9730.788732408324
2,624,126,8745.12384,9412.827966994037
2,625,123,8676.9664,9513.546050116236
2,626,56,3916.43136,5544.0886886281905
2,627,43,2967.47008,3304.6238009087406
2,628,33,2391.40864,4531.6595696996765
3,35,5,771.751936,9831.554500865359
3,36,8,1275.068416,10129.741485293533
3,37,5,771.751936,10090.198538696026
3,38,5,771.751936,10053.174718625243
3,39,7,1040.187392,10123.773744517946
3,40,8,1275.068416,10086.252514896863
3,41,5,771.751936,10123.181069146507
3,42,7,1040.187392,10095.195974817063
3,43,8,1275.068416,10042.960619924359
3,44,5,771.751936,10054.633037011152
3,45,5,771.751936,10121.613659894614
3,46,7,1040.187392,10018.634483849239
3,47,8,1275.068416,10068.16453336709
3,48,5,771.751936,10170.298215362509
3,49,7,1040.187392,10075.621292048929
3,50,8,1275.068416,9933.151418315512
3,51,5,771.751936,10149.867393584642
3,52,5,771.751936,9972.87123997863
3,53,7,1040.187392,9995.93595186206
3,54,1,4200.595456,10191.383391708096
3,107,18,1032.84736,11843.696043730506
3,108,24,1525.67808,11158.226465351212
3,109,27,1772.09344,11242.903153544808
3,110,26,1808.7936,10985.353363559272
3,111,21,1635.77856,11209.385423089572
3,112,15,1232.0768,11028.764948077918
3,113,23,1562.37824,11259.060548838674
3,114,25,1517.81376,11715.034461346911
3,115,24,1614.80704,11260.717610488375
3,116,24,1614.80704,11304.402156730712
3,117,20,1494.2208,11172.1401720514
3,118,19,1652.16256,12884.377926219322
3,119,21,1546.6496,11426.78126573713
3,120,24,1614.80704,11445.16749253508
3,121,22,1547.30496,12680.326658976643
3,122,23,1562.37824,11277.117583441386
3,123,24,1525.67808,11332.016551070488
3,124,21,1814.03648,11221.14538507899
3,125,6,492.83072,11677.427152352053
3,179,28,1646.26432,11031.830677413565
3,180,34,2139.09504,11279.536548055261
3,181,33,2264.92416,11249.757822105319
3,182,17,1247.80544,11271.451929189503
3,183,7,456.13056,11079.405091804594
3,184,15,1232.0768,11362.95431839974
3,185,30,2275.40992,11125.792010135809
3,186,36,2105.01632,11499.142444591533
3,187,30,2285.89568,11299.962747015205
3,188,27,2160.72192,12291.37004747504
3,189,31,2249.19552,11113.541142941152
3,190,36,2422.21056,11315.815705324278
3,191,32,2301.62432,11151.004688447427
3,192,32,2390.75328,11202.496344728717
3,193,19,1390.01856,12706.706786302884
3,196,3,4469.030912,14500.834230985447
3,199,39,6106.906624,14970.633124040398
3,200,80,16347.29984,17591.69187602874
3,201,65,10032.775168,15399.444207530025
3,202,55,8489.271296,18201.368984652447
3,623,25,1728.18432,10580.612597489653
3,624,125,8781.824,9467.431856152753
3,625,124,8640.26624,9333.719530976217
3,626,54,3900.70272,5561.1682609518575
3,627,43,2967.47008,3312.527461558119
3,628,36,2548.69504,4448.861175326838
