Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x192x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn,7,209037.897,24,8709.912375,2002.431,9801.142,0.03596657217543788,0.03269325178452783
reduce,aten::linalg_vector_norm,"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4>)",7,199017.801,720,276.4136125,12.065,777.868,0.03424253786797058,0.03112612196675541
elementwise,aten::add,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",7,184900.595,458,403.7130895196507,7.936,2256.418,0.031813564386121373,0.02891820954094275
triton,triton_red_fused__unsafe_view_clone_mean_permute_view_3,triton_red_fused__unsafe_view_clone_mean_permute_view_3,7,150481.551,2160,69.66738472222222,2.432,130.658,0.025891504089870062,0.023535116389777237
CONV_fwd,aten::cudnn_convolution,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,7,143046.26,24,5960.260833333334,1544.727,6611.365,0.02461220529173451,0.022372246669775064
triton,triton_poi_fused_addmm_all_to_all_single_clone_permute_view_3,triton_poi_fused_addmm_all_to_all_single_clone_permute_view_3,7,135509.255,2160,62.735766203703704,3.808,142.467,0.023315405820396845,0.02119346901413186
other,aten::_upsample_nearest_exact2d,"void at::native::(anonymous namespace)::upsample_nearest2d_out_frame<float, &at::native::nearest_neighbor_exact_compute_source_index>(float const*, float*, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",7,113027.046,72,1569.8200833333333,97.442,3134.352,0.01944716946581001,0.017677281135962678
triton,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_2,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_2,7,91747.261,2160,42.4755837962963,3.648,137.602,0.01578581937539889,0.014349150787781753
elementwise,aten::add,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",7,83583.266,46,1817.0275217391304,1202.706,2433.413,0.01438114146951939,0.013072312721894465
triton,triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_7,triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_7,7,71956.986,2160,33.31341944444445,5.248,116.61,0.012380750895594653,0.011253977841892204
CONV_fwd,aten::cudnn_convolution,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",7,61951.322,96,645.3262708333333,3.136,2645.608,0.010659199724329375,0.009689105169912603
runtime,cuLaunchKernelEx,_layer_norm_fwd_1pass_kernel,7,46092.146,4320,10.669478240740741,5.472,13.6,0.007930506954104214,0.007208750930302448
triton,triton_red_fused__unsafe_view_clone_mean_permute_view_5,triton_red_fused__unsafe_view_clone_mean_permute_view_5,7,43794.009,2902,15.090974844934527,4.608,93.858,0.007535094871100221,0.006849325330185837
triton,triton_per_fused__unsafe_view_clone_mean_permute_view_6,triton_per_fused__unsafe_view_clone_mean_permute_view_6,7,36570.34,3220,11.357248447204968,1.823,80.353,0.006292207259864955,0.005719553012274082
triton,triton_poi_fused_cat_2,triton_poi_fused_cat_2,7,27520.091,2160,12.74078287037037,11.808,15.296,0.004735042561330965,0.004304105987997566
triton,triton_tem_fused_convolution_0,triton_tem_fused_convolution_0,7,11010.11,54,203.89092592592593,198.722,215.907,0.0018943738033037635,0.0017219667035080618
triton,triton_poi_fused_abs_eq_max_0,triton_poi_fused_abs_eq_max_0,7,9205.136,4956,1.8573720742534303,1.471,2.497,0.0015838141938862003,0.001439671147087848
triton,triton_tem_fused_addmm_silu_t_3,triton_tem_fused_addmm_silu_t_3,7,9149.056,54,169.42696296296296,166.274,174.595,0.0015741652001078207,0.00143090030894611
triton,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,7,9110.474,2160,4.217812037037037,3.968,6.721,0.0015675268713282655,0.0014248661349592245
other,aten::gather,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",7,8408.912,50,168.17824000000002,7.136,175.106,0.0014468177526915404,0.0013151427621276612
GEMM,aten::addmm,nvjet_tst_64x192_64x6_1x2_h_bz_bias_TNN,7,7576.881,54,140.31261111111112,137.474,143.106,0.0013036604427339982,0.0011850142095258692
triton,triton_poi_fused__to_copy_add_0,triton_poi_fused__to_copy_add_0,7,6619.092,2796,2.3673433476394847,1.792,2.848,0.001138865505109169,0.0010352172713493854
GEMM,aten::bmm,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,7,5294.929,48,110.31102083333333,109.409,112.161,0.0009110331130164361,0.0008281199220933522
elementwise,aten::add_,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",7,5234.51,48,109.05229166666668,108.609,109.697,0.0009006375610354104,0.000818670470066147
triton,triton_poi_fused_arange_0,triton_poi_fused_arange_0,7,5013.074,2796,1.792944921316166,1.376,2.208,0.0008625378002239042,0.0007840381713009199
GEMM,aten::bmm,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x32x8_stage3_warpsize1x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,7,4866.386,48,101.38304166666667,99.937,105.985,0.0008372990056560915,0.0007610963612913752
triton,triton_poi_fused_addmm_gelu_view_5,triton_poi_fused_addmm_gelu_view_5,7,4794.655,902,5.315582039911308,4.768,6.016,0.0008249571373836779,0.0007498777273622556
triton,triton_poi_fused_zeros_7,triton_poi_fused_zeros_7,7,4409.835,2584,1.706592492260062,1.311,2.112,0.0007587459072517941,0.0006896923861763846
triton,triton_poi_fused__to_copy_arange_copy_cos_div_mul_pow_reciprocal_repeat_slice_unsqueeze_view_0,triton_poi_fused__to_copy_arange_copy_cos_div_mul_pow_reciprocal_repeat_slice_unsqueeze_view_0,7,3956.631,54,73.27094444444444,69.345,79.873,0.0006807686858477865,0.0006188118774533411
CONV_fwd,aten::cudnn_convolution,sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas,7,3917.438,23,170.32339130434784,165.603,176.898,0.0006740252298357318,0.0006126821438711524
CONV_fwd,aten::cudnn_convolution,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align4::Params),7,3836.003,49,78.28577551020409,40.577,116.162,0.0006600137139951051,0.0005999458171223571
other,aten::_softmax,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",7,3798.594,48,79.137375,77.473,81.152,0.0006535772088550302,0.0005940950987906118
triton,triton_poi_fused__to_copy_arange_copy_div_mul_pow_reciprocal_repeat_sin_slice_unsqueeze_view_1,triton_poi_fused__to_copy_arange_copy_div_mul_pow_reciprocal_repeat_sin_slice_unsqueeze_view_1,7,3755.864,54,69.55303703703704,68.576,73.473,0.0006462251848865894,0.000587412183066709
elementwise,aten::masked_fill_,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})",7,3579.395,48,74.57072916666667,74.305,75.617,0.0006158623410371444,0.00055981266387922
elementwise,aten::clamp_min,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",7,3427.95,720,4.761041666666666,1.856,12.992,0.0005898050681632732,0.0005361268653347205
triton,triton_per_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_silu_sin_t_unsqueeze_1,triton_per_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_silu_sin_t_unsqueeze_1,7,3424.1569999999997,690,4.962546376811594,3.104,5.697,0.0005891524534449887,0.0005355336451301625
elementwise,aten::mul,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",7,2923.93,227,12.880748898678414,1.44,30.272,0.0005030845645224228,0.00045729880113716634
CONV_fwd,aten::cudnn_convolution,sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,7,2597.256,24,108.219,97.953,120.226,0.0004468777993020523,0.00040620741777207806
triton,triton_tem_fused_addmm_silu_t_2,triton_tem_fused_addmm_silu_t_2,7,2351.772,54,43.55133333333333,42.944,45.057,0.00040464039579471027,0.000367814043478454
