Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
elementwise,aten::add,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",7,83486.578,46,1814.925608695652,1193.073,2419.779,0.012889520877981314,0.011831904969240484
triton,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_2,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_2,7,82969.689,2160,38.41189305555555,3.84,114.593,0.012809718211292799,0.011758650301554313
triton,triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_7,triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_7,7,81221.533,2160,37.60256157407407,5.536,107.713,0.012539819818044865,0.0115108977147444
CONV_fwd,aten::cudnn_convolution,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",7,61857.081,96,644.34459375,3.105,2634.95,0.0095501355559271,0.008766524171904749
runtime,cuLaunchKernelEx,_layer_norm_fwd_1pass_kernel,7,46748.519,4339,10.774030652224015,5.503,13.824,0.007217519583389875,0.006625304899438246
triton,triton_red_fused__unsafe_view_clone_mean_permute_view_5,triton_red_fused__unsafe_view_clone_mean_permute_view_5,7,42188.403,2902,14.537699172984148,4.448,117.026,0.006513481739270588,0.005979035038422825
triton,triton_per_fused__unsafe_view_clone_mean_permute_view_6,triton_per_fused__unsafe_view_clone_mean_permute_view_6,7,32507.4,3220,10.095465838509318,1.792,85.761,0.0050188284275933534,0.004607021593304354
triton,triton_poi_fused_cat_2,triton_poi_fused_cat_2,7,26922.758,2160,12.464239814814816,11.84,15.2,0.004156613669491143,0.0038155536110949365
triton,triton_tem_fused_convolution_0,triton_tem_fused_convolution_0,7,11108.894,54,205.72025925925925,199.523,233.476,0.0017151058837778855,0.0015743773582547103
triton,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,7,9281.981,2160,4.297213425925926,3.68,6.624,0.0014330481707913083,0.001315463152871061
triton,triton_tem_fused_addmm_silu_t_3,triton_tem_fused_addmm_silu_t_3,7,9144.227,54,169.33753703703704,166.498,176.483,0.0014117802843649965,0.0012959403472156091
triton,triton_poi_fused_abs_eq_max_0,triton_poi_fused_abs_eq_max_0,7,8906.974,4850,1.8364894845360824,1.44,2.56,0.0013751507138385377,0.0012623163202532485
other,aten::gather,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",7,8405.361,50,168.10722,6.688,175.042,0.0012977065139317353,0.0011912266015282145
GEMM,aten::addmm,nvjet_tst_64x192_64x6_1x2_h_bz_bias_TNN,7,7517.102,54,139.20559259259258,137.09,144.545,0.0011605679079446172,0.0010653405450165604
GEMM,aten::bmm,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,7,5290.707,48,110.22306250000001,109.409,112.321,0.0008168340345172837,0.0007498108551544109
elementwise,aten::add_,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",7,5239.086,48,109.147625,108.609,109.792,0.0008088642509522864,0.0007424950113259914
triton,triton_poi_fused__to_copy_add_0,triton_poi_fused__to_copy_add_0,7,5231.162,2160,2.4218342592592594,1.952,3.584,0.0008076408619251647,0.0007413720042843534
GEMM,aten::bmm,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x32x8_stage3_warpsize1x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,7,4869.07,48,101.43895833333333,100.481,106.817,0.0007517373561694249,0.0006900555144155001
triton,triton_poi_fused_zeros_7,triton_poi_fused_zeros_7,7,4412.331,2690,1.640271747211896,1.312,2.112,0.0006812212682266624,0.0006253254395554918
triton,triton_per_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_silu_sin_t_unsqueeze_1,triton_per_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_silu_sin_t_unsqueeze_1,7,4325.751,902,4.795732815964524,2.593,5.696,0.0006678541528848932,0.0006130551278865089
triton,triton_poi_fused__to_copy_arange_copy_cos_div_mul_pow_reciprocal_repeat_slice_unsqueeze_view_0,triton_poi_fused__to_copy_arange_copy_cos_div_mul_pow_reciprocal_repeat_slice_unsqueeze_view_0,7,3983.225,54,73.76342592592593,69.441,87.297,0.0006149714484548298,0.000564511575394825
CONV_fwd,aten::cudnn_convolution,sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas,7,3895.224,23,169.3575652173913,164.098,177.859,0.0006013849444447693,0.0005520398764206721
CONV_fwd,aten::cudnn_convolution,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align4::Params),7,3816.2490000000003,49,77.88263265306124,37.952,117.954,0.00058919196761275,0.0005408473623982891
triton,triton_poi_fused_arange_0,triton_poi_fused_arange_0,7,3800.876,2160,1.7596648148148148,1.632,2.144,0.0005868185249683861,0.0005386686663797252
other,aten::_softmax,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",7,3790.343,48,78.96547916666667,76.769,81.025,0.000585192331553107,0.0005371759060100162
triton,triton_poi_fused__to_copy_arange_copy_div_mul_pow_reciprocal_repeat_sin_slice_unsqueeze_view_1,triton_poi_fused__to_copy_arange_copy_div_mul_pow_reciprocal_repeat_sin_slice_unsqueeze_view_1,7,3773.464,54,69.87896296296296,68.353,79.329,0.0005825863770618421,0.0005347837762957547
elementwise,aten::masked_fill_,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})",7,3584.353,48,74.67402083333333,74.433,75.552,0.0005533894661193918,0.0005079825414836388
elementwise,aten::clamp_min,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",7,3415.763,720,4.7441152777777775,1.791,12.864,0.0005273607992740592,0.00048408958878932355
elementwise,aten::mul,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",7,2936.794,227,12.937418502202643,1.44,29.856,0.0004534126141489505,0.00041620902850079256
CONV_fwd,aten::cudnn_convolution,sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,7,2578.658,24,107.44408333333332,99.649,117.346,0.000398119876564752,0.0003654531918193093
triton,triton_tem_fused_addmm_silu_t_2,triton_tem_fused_addmm_silu_t_2,7,2362.821,54,43.755944444444445,42.688,45.217,0.000364796729486657,0.0003348642883808913
elementwise,aten::clamp,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",7,2238.848,2,1119.424,1117.808,1121.04,0.0003456564962888611,0.00031729455693553667
elementwise,aten::sub,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",7,1644.08,414,3.971207729468599,1.44,11.36,0.00025383006457722483,0.0002330027028036638
record_param_comms,record_param_comms,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),7,1454.773,1,1454.773,1454.773,1454.773,0.0002246028931288034,0.00020617369043221398
elementwise,aten::div,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",7,1311.764,97,13.523340206185566,1.888,1118.128,0.00020252368548372265,0.00018590613439768456
triton,triton_poi_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_sin_unsqueeze_0,triton_poi_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_sin_unsqueeze_0,7,1126.888,584,1.9296027397260274,1.695,2.624,0.00017398061761672167,0.0001597050932783168
